Site_ID,Sed,Site,Nom_Treat,Rep,Sed_Cu,Sed_Ni,Ameletidae,Athericidae,Baetidae,Brachycentridae,Capniidae,Ceratopogonidae,Chironomidae,Cordulegastridae,Elmidae,Enchytraeidae,Ephemerellidae,Erpobdellidae,Glossosomatidae,Goeridae,Heptageniidae,Hydropsychidae,Hygrobatidae,Lebertiidae,Lepidostomatidae,Leptoceridae,Leptophlebiidae,Leuctridae,Libellulidae,Limnephilidae,Limnesiidae,Lumbricidae,Lumbriculidae,Mideopsidae,Molannidae,Naididae,Nemata,Nemouridae,Perlodidae,Phryganeidae,Pisidiidae,Polycentropodidae,Psychodidae,Psychomyiidae,Rhyacophilidae,Sialidae,Sperchonidae,Tabanidae,Tipulidae,Abundance,Richness,H_div,D_div,EPT_Ab
UP-1-AC-REF-28D-A,LB,Big Pup,1-Ref,A,2.2,0.6,0,0,7,0,0,2,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,5,0.74,0.36,8
UP-1-AC-REF-28D-B,LB,Big Pup,1-Ref,B,2.2,0.6,0,0,19,0,1,7,95,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,6,141,9,1.17,0.52,24
UP-1-AC-REF-28D-C,LB,Big Pup,1-Ref,C,2.2,0.6,0,0,8,0,0,9,73,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,104,7,1.07,0.49,13
UP-1-AC-LOW-28D-A,LB,Big Pup,2-Low,A,51.2,55.8,0,0,5,0,0,11,44,0,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,75,10,1.47,0.62,12
UP-1-AC-LOW-28D-B,LB,Big Pup,2-Low,B,51.2,55.8,0,0,12,0,0,8,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,3,115,8,0.98,0.44,14
UP-1-AC-LOW-28D-C,LB,Big Pup,2-Low,C,51.2,55.8,0,0,11,0,0,14,83,0,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,5,130,12,1.39,0.57,19
UP-1-AC-MED-28D-A,LB,Big Pup,3-Med,A,85,65.9,0,0,4,0,0,4,42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,55,8,0.95,0.4,7
UP-1-AC-MED-28D-B,LB,Big Pup,3-Med,B,85,65.9,0,0,7,0,0,5,94,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,6,0.61,0.26,10
UP-1-AC-MED-28D-C,LB,Big Pup,3-Med,C,85,65.9,0,0,1,0,0,3,82,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,96,9,0.69,0.27,5
UP-1-AC-HIGH-28D-A,LB,Big Pup,4-High,A,162.6,133.7,0,0,3,0,0,4,42,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,7,0.97,0.42,8
UP-1-AC-HIGH-28D-B,LB,Big Pup,4-High,B,162.6,133.7,0,0,5,0,0,8,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,74,6,0.79,0.37,6
UP-1-AC-HIGH-28D-C,LB,Big Pup,4-High,C,162.6,133.7,0,0,8,0,2,19,91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,3,133,12,1.18,0.51,12
UP-1-ST-REF-28D-A,HB,Big Pup,1-Ref,A,9.6,7.3,0,0,3,0,0,25,52,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,91,10,1.24,0.59,10
UP-1-ST-REF-28D-B,HB,Big Pup,1-Ref,B,9.6,7.3,0,0,7,0,1,13,83,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,6,0.79,0.38,10
UP-1-ST-REF-28D-C,HB,Big Pup,1-Ref,C,9.6,7.3,0,0,1,0,0,8,76,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,93,9,0.78,0.32,4
UP-1-ST-LOW-28D-A,HB,Big Pup,2-Low,A,89.2,86.8,0,0,6,0,1,3,69,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,87,8,0.88,0.36,10
UP-1-ST-LOW-28D-B,HB,Big Pup,2-Low,B,89.2,86.8,0,0,3,0,0,5,124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,137,6,0.45,0.18,4
UP-1-ST-LOW-28D-C,HB,Big Pup,2-Low,C,89.2,86.8,0,0,2,0,1,1,61,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,74,11,0.86,0.32,8
UP-1-ST-MED-28D-A,HB,Big Pup,3-Med,A,158.2,142.5,0,0,3,0,1,3,60,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,76,8,0.9,0.37,7
UP-1-ST-MED-28D-B,HB,Big Pup,3-Med,B,158.2,142.5,2,0,5,0,0,3,93,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,117,14,0.99,0.36,12
UP-1-ST-MED-28D-C,HB,Big Pup,3-Med,C,158.2,142.5,0,0,11,0,1,12,86,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,120,8,1.04,0.47,19
UP-1-ST-HIGH-28D-A,HB,Big Pup,4-High,A,270.5,240.4,0,0,2,0,0,7,54,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5,0.92,0.45,4
UP-1-ST-HIGH-28D-B,HB,Big Pup,4-High,B,270.5,240.4,0,0,3,0,0,13,111,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,145,9,0.95,0.4,11
UP-1-ST-HIGH-28D-C,HB,Big Pup,4-High,C,270.5,240.4,0,0,11,0,0,12,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,68,9,1.47,0.67,16
UP-2-AC-REF-28D-A,LB,Salmon-Trout,1-Ref,A,2.8,4.7,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,26,3,0.96,0.57,0
