Site,Sed,Nom_Treat,Colonized,NPP,CHLA,Biofilm_Cu,Biofilm_Ni,Sed_Cu,Sed_Ni
BP,HB,Ref,Y,0.2,8,21,41,9.6,7.3
BP,HB,Ref,Y,0.24,13.2,31,32,9.6,7.3
BP,HB,Ref,Y,0.24,20.3,32,26,9.6,7.3
BP,HB,Ref,N,0.2,6.6,-1,17,9.6,7.3
BP,HB,Ref,N,0.24,8.3,4,23,9.6,7.3
BP,HB,Ref,N,0.26,14.9,94,39,9.6,7.3
BP,HB,Low,Y,0.25,11.5,47,71,89.2,86.8
BP,HB,Low,Y,0.22,16.4,146,37,89.2,86.8
BP,HB,Low,Y,0.22,11.9,32,36,89.2,86.8
BP,HB,Low,N,0.31,NA,NA,NA,89.2,86.8
BP,HB,Low,N,0.24,8.2,40,87,89.2,86.8
BP,HB,Low,N,0.22,14.7,28,56,89.2,86.8
BP,HB,Med,Y,0.25,12.2,90,75,158.2,142.5
BP,HB,Med,Y,0.16,5.9,47,57,158.2,142.5
BP,HB,Med,Y,0.25,10.9,89,112,158.2,142.5
BP,HB,Med,N,0.23,7.8,74,100,158.2,142.5
BP,HB,Med,N,0.24,5.1,105,137,158.2,142.5
BP,HB,Med,N,0.24,5,97,108,158.2,142.5
BP,HB,High,Y,0.19,13.7,116,131,270.5,240.4
BP,HB,High,Y,0.24,17.9,72,105,270.5,240.4
BP,HB,High,Y,0.2,9,86,106,270.5,240.4
BP,HB,High,N,0.2,12.1,54,67,270.5,240.4
BP,HB,High,N,0.19,6.3,86,86,270.5,240.4
BP,HB,High,N,0.22,7.7,115,123,270.5,240.4
BP,LB,Ref,Y,0.29,14,8,38,2.2,0.6
BP,LB,Ref,Y,0.26,10.4,15,56,2.2,0.6
BP,LB,Ref,Y,0.2,7.8,7,20,2.2,0.6
BP,LB,Ref,N,NA,NA,NA,NA,2.2,0.6
BP,LB,Ref,N,NA,NA,NA,NA,2.2,0.6
BP,LB,Ref,N,NA,NA,NA,NA,2.2,0.6
BP,LB,Low,Y,0.22,13.3,74,62,51.2,55.8
BP,LB,Low,Y,0.26,20.7,134,56,51.2,55.8
BP,LB,Low,Y,0.23,17.3,64,46,51.2,55.8
BP,LB,Low,N,0.22,9,72,61,51.2,55.8
BP,LB,Low,N,0.32,8.6,32,59,51.2,55.8
BP,LB,Low,N,0.26,14,31,80,51.2,55.8
BP,LB,Med,Y,0.31,10.2,76,81,85,65.9
BP,LB,Med,Y,0.24,10.8,77,92,85,65.9
BP,LB,Med,Y,0.23,9.2,136,150,85,65.9
BP,LB,Med,N,0.23,6.4,96,100,85,65.9
BP,LB,Med,N,0.21,7.3,74,81,85,65.9
BP,LB,Med,N,0.24,6.3,56,68,85,65.9
BP,LB,High,Y,0.24,7.2,337,407,162.6,133.7
BP,LB,High,Y,0.25,20,175,166,162.6,133.7
BP,LB,High,Y,0.26,17.5,382,336,162.6,133.7
BP,LB,High,N,0.26,9.6,93,93,162.6,133.7
BP,LB,High,N,0.23,9.5,10,10,162.6,133.7
BP,LB,High,N,0.26,NA,NA,NA,162.6,133.7
ST,HB,Ref,Y,0.28,22.2,21,52,9,2.5
ST,HB,Ref,Y,0.11,20.6,16,39,9,2.5
ST,HB,Ref,Y,0.23,21.7,37,130,9,2.5
ST,HB,Ref,N,0.16,22.8,1,-22,9,2.5
ST,HB,Ref,N,0.12,27.7,4,-14,9,2.5
ST,HB,Ref,N,0.21,19.2,20,36,9,2.5
ST,HB,Low,Y,0.05,18.8,28,16,101,98.5
ST,HB,Low,Y,-0.08,11.5,26,81,101,98.5
ST,HB,Low,Y,0.06,14.5,1,22,101,98.5
ST,HB,Low,N,-0.05,11.8,76,122,101,98.5
ST,HB,Low,N,0.03,20.5,11,42,101,98.5
ST,HB,Low,N,-0.02,5.7,39,50,101,98.5
ST,HB,Med,Y,-0.02,13,48,54,150.7,137.4
ST,HB,Med,Y,-0.01,19,24,47,150.7,137.4
ST,HB,Med,Y,-0.05,6.3,35,31,150.7,137.4
ST,HB,Med,N,-0.06,1,24,13,150.7,137.4
ST,HB,Med,N,0.13,9.6,73,220,150.7,137.4
ST,HB,Med,N,0.03,2.5,64,9,150.7,137.4
ST,HB,High,Y,-0.02,15,79,123,301.5,356.8
ST,HB,High,Y,-0.06,10,80,79,301.5,356.8
ST,HB,High,Y,0.08,16,58,56,301.5,356.8
ST,HB,High,N,0.04,13.4,98,145,301.5,356.8
ST,HB,High,N,0.01,6.5,74,60,301.5,356.8
ST,HB,High,N,-0.15,4.7,115,91,301.5,356.8
ST,LB,Ref,Y,0.09,16.6,14,86,2.8,4.7
ST,LB,Ref,Y,0.09,19.7,12,-2,2.8,4.7
ST,LB,Ref,Y,0.05,18.8,NA,NA,2.8,4.7
ST,LB,Ref,N,0.1,28.3,41,75,2.8,4.7
ST,LB,Ref,N,0.05,14.4,8,50,2.8,4.7
ST,LB,Ref,N,-0.02,12.9,5,51,2.8,4.7
ST,LB,Low,Y,-0.02,9.9,15,24,70.3,58
ST,LB,Low,Y,0.05,10,59,52,70.3,58
ST,LB,Low,Y,0.07,17.6,53,99,70.3,58
ST,LB,Low,N,0.05,11,114,278,70.3,58
ST,LB,Low,N,-0.07,2.6,168,257,70.3,58
ST,LB,Low,N,0.05,9.5,74,90,70.3,58
ST,LB,Med,Y,0.1,22.4,59,47,125.9,107.4
ST,LB,Med,Y,0.05,12.9,124,155,125.9,107.4
ST,LB,Med,Y,0.02,14,47,45,125.9,107.4
ST,LB,Med,N,0.04,5.3,11,32,125.9,107.4
ST,LB,Med,N,0.03,8.6,37,111,125.9,107.4
