Study,Fixed,R2dif,R2dif_SE
a,lake,-0.083171574,0.226785053
a,stream,-0.02539446,0.286436682
a,wetland,0.017950308,0.281233656
b,wetland,0.033831061,0.281103948
b,wetland,0.07907978,0.196960586
c,lake,0.091390618,0.228163946
d,lake,-0.107000939,0.400294759
d,stream,-0.130358183,0.335238424
d,wetland,-0.130508636,0.356461239
e,stream,0.163426047,0.27400984
e,stream,0.173756158,0.202989181
f,lake,0.186713293,0.328720608
f,stream,0.189463734,0.434033752
f,wetland,0.223078795,0.163635094
g,lake,0.223849258,0.070519373
g,lake,0.244680602,0.20906375
g,stream,0.251495383,0.192809992
g,stream,0.252238407,0.114554767
g,wetland,0.292604576,0.186040462
g,wetland,0.331583084,0.096881189
h,lake,0.340100466,0.45174669
h,lake,0.34715824,0.411719384
h,wetland,0.3511936,0.400296416
i,wetland,0.395951559,0.459162617
