Reviewer,Record #,First_author,Year,Journal,Title,Stressor class,Exact stressor,Receptor,aquatic,Study system,Structure measured?,Function measured?,Structural measures_CLEAN,Functional measures_CLEAN,STR_VAR,FUN_VAR
Costello,3,Abubaker,2013,Applied Soil Ecology,Bacterial community structure and microbial activity in different soils amended with biogas residues and cattle slurry,multiple stressors,biogas residue; organic wastes,microbes; bacteria,terrestrial,lab,Yes,Yes,community_composition,respiration ; nutrient_transformation ; growth rate,community_composition,respiration ; nutrient_transformation ; growth_rate
Costello,5,Acosta,2002,Journal of Freshwater Ecology,Spatio-temporal variation in crayfish production in disturbed marl prairie marshes of the Florida Everglades,altered hydrology,,crayfish,aquatic,field,Yes,Yes,density,secondary_production,density,secondary_production
Costello,11,Aguiar,2015,Environmental Science and Pollution Research,"Benthic invertebrate density, biomass, and instantaneous secondary production along a fifth-order human-impacted tropical river",multiple stressors,water quality; sediment; land use,invertebrates,aquatic,field,Yes,Yes,community_composition ; biomass,secondary_production,community_composition ; biomass,secondary_production
Costello,13,Ainsworth,2011,Journal of Marine Science,Potential impacts of climate change on Northeast Pacific marine foodwebs and fisheries,climate change,ocean acidification; elevated CO2; range shifts,fish,aquatic,modeling,Yes,Yes,community_composition ; biomass,secondary_production,community_composition ; biomass,secondary_production
Costello,15,Albert,2008,Advances in Ecological Research,Solar ultraviolet-B radiation at Zackenberg: The impact on higher plants and soil microbial communities,UV-B,,plants; microbes,terrestrial,field,Yes,Yes,community_composition ; biomass,photosynthesis ; respiration ; plant physiological traits,community_composition ; biomass,photosynthesis ; respiration ; plant_physiological_traits
Costello,22,Allison,2013,Ecology,Microbial abundance and composition influence litter decomposition response to environmental change,drought; N deposition,,litter,terrestrial,field,Yes,Yes,litter chemistry ; microbial abundance,decomposition,litter_chemistry ; abundance,decomposition
Costello,23,Alsterberg,2013,Marine Ecology Progress Series,Experimental warming and toxicant exposure can result in antagonistic effects in a shallow-water sediment system,warming; chemical stressor,copper pyrithione,benthic community,aquatic,lab,Yes,Yes,biomass ; algal community_composition ; macrofauna abundance,primary_production ; nutrient_flux ; respiration,biomass ; community_composition ; abundance,primary_production ; nutrient_flux ; respiration
Costello,28,Amundrud,2016,Ecology,Trophic interactions determine the effects of drought on an aquatic ecosystem,drought,,bromeliad community,aquatic,lab,Yes,Yes,community_composition,decomposition,community_composition,decomposition
Costello,30,Anderson,2009,Microbial Ecology,Molecular and Functional Assessment of Bacterial Community Convergence in Metal-Amended Soils,metal,arsenic; lead; copper; cadmium; zinc,microbial community,terrestrial,lab,Yes,Yes,community_composition ; biomass,respiration,community_composition ; biomass,respiration
Costello,35,Antunes,2009,Journal of Soils and Sediments,Short-term recovery of soil functional parameters and edaphic macro-arthropod community after a forest fire,fire,,microbial community; invertebrates,terrestrial,field,Yes,Yes,arthropod community,enzyme_activity ; nutrient_transformation,community_compoition,enzyme_activity ; nutrient_transformation
Costello,36,Araujo,2013,Soil Biology & Biochemistry,Soil microbial properties and temporal stability in degraded and restored lands of Northeast Brazil,deforestation,,microbial community,terrestrial,field,Yes,Yes,biomass ; microbial nitrogen content,enzyme_activity ; respiration,biomass ; nitrogen_content,enzyme_activity ; respiration
Costello,38,Artigas,2014,Science of the Total Environment,Comparative sensitivity to the fungicide tebuconazole of biofilm and plankton microbial communities in freshwater ecosystems,fungicide,tebuconazole,biofilm; plankton,aquatic,lab,Yes,Yes,biomass; chlorophyll,bacterial respiration ; photosynthesis,biomass ; chlorophyll,respiration ; photosynthesis
Costello,39,Arts,2006,Integrated Environmental Assessment and Management,Ecological Impact in Ditch Mesocosms of Simulated Spray Drift from a Crop Protection Program for Potatoes,pesticides,prosulfocarb; metribuzin; lambda-cyhalothrin; chlorothalonil; and fluazinam,whole community,aquatic,lab,Yes,Yes,community_composition ; chlorophyll; macrophyte cover ; structure,decomposition ; primary_production ,community_composition ; chlorophyll ; macrophyte_cover ; structure,decomposition ; primary_production
Costello,42,Avrahami,2009,Global Change Biology,"N2O emission rates in a California meadow soil are influenced by fertilizer level, soil moisture and the community structure of ammonia-oxidizing bacteria",temperature; drought; nutrients,,microbes; ammonia-oxidizing bacteria,terrestrial,lab,Yes,Yes,community_composition,nutrient_transformation,community_composition,nutrient_transformation
Costello,47,Baert,2016,Nature Communications,Per capita interactions and stress tolerance drive stress-induced changes in biodiversity effects on ecosystem functions,herbicide,atrazine,phytoplankton,aquatic,lab,Yes,Yes,biovolume ; diversity,production ,biovolume ; diversity,production
Costello,48,Bai,2015,Journal of Ecology,Differential responses of grasses and forbs led to marked reduction in below-ground productivity in temperate steppe following chronic N deposition,nutrients,nitrogen; urea,grasslands,terrestrial,field,Yes,Yes,biomass ; photosynthetic rates ; litter chemistry,root growth ; production,biomass ; photosynthetic_rates ; litter_chemistry,root_growth ; production
Costello,50,Baird,2004,Ecological Applications,Consequences of hypoxia on estuarine ecosystem function: Energy diversion from consumers to microbes,hypoxia,,estuarine community,aquatic,field,Yes,Yes,biomass,primary_production ; herbivory ; detritivory,biomass,primary_production ; herbivory ; detritivory
Costello,52,Balczon,1994,Hydrobiologia,A Comparison Of The Responses Of 2 Microcosm Designs To A Toxic Input Of Copper,metal,copper,primary producers,aquatic,lab,Yes,Yes,community_composition ; biomass,primary_production ; respiration ; enzyme_activity,community_composition ; biomass,primary_production ; respiration ; enzyme_activity
Costello,57,Baptist,2008,Environmental Microbiology,Tannin impacts on microbial diversity and the functioning of alpine soils: a multidisciplinary approach,tannin; climate change,,soil community,terrestrial,lab,Yes,Yes,microbial community ; biomass,CO2 efflux ; nutrient_transformation,community_composition ; biomass,carbon_dioxide_efflux ; nutrient_transformation
Costello,59,Barcenas,2014,Plant and Soil,Plant species influence on soil microbial short-term response after fire simulation,fire,,soil community,terrestrial,lab,Yes,Yes,biomass ; community_composition,respiration,biomass ; community_composition,respiration
Costello,62,Barral-Fraga,2016,Environmental Science and Pollution Research,Short-term arsenic exposure reduces diatom cell size in biofilm communities,metal,arsenic,microbes,aquatic,lab,Yes,Yes,datom community; bacterial abundance; chlorophyll,primary_production ; photosynthesis,community_composition ; abundance ; chlorophyll,primary_production ; photosynthesis
Costello,63,Barthes,2015,Microbial Ecology,Resilience of Aggregated Microbial Communities Subjected to Drought-Small-Scale Studies,drought,,microbes,aquatic,lab,Yes,Yes,algal community ; bacterial community,photosynthesis ; carbon substrate use,community_composition,photosynthesis ; carbon_substrate_use
