REV,ACC,AUT,YEAR,JOUR,TITLE,STRESS_CLASS,STRESS_EXACT,RECEPT,AQUA_TERR,SYSTEM,STR_MEAS,FUN_MEAS,STR_VAR,STR_VAR
Costello,1,Aarts,2004,River Research and Applications,Habitat loss as the main cause of the slow recovery of fish faunas of regulated large rivers in Europe: The transversal floodplain gradient,altered hydrology,,fish,aquatic,field,Yes,No,community composition; ecological guild,NA
Costello,2,Abbas,2013,Plos One,Biodiversity Effects on Plant Stoichiometry,biodiversity loss,,plants; grassland,terrestrial,field,Yes,No,stoichiometry,NA
Costello,3,Abubaker,2013,Applied Soil Ecology,Bacterial community structure and microbial activity in different soils amended with biogas residues and cattle slurry,multiple stressors,biogas residue; organic wastes,microbes; bacteria,terrestrial,lab,Yes,Yes,community composition,respiration; nutrient transformation; growth rate
Costello,5,Acosta,2002,Journal of Freshwater Ecology,Spatio-temporal variation in crayfish production in disturbed marl prairie marshes of the Florida Everglades,altered hydrology,,crayfish,aquatic,field,Yes,Yes,density,secondary production
Costello,8,Adrian,1996,Freshwater Biology,Possible impact of mild winters on zooplankton succession in eutrophic lakes of the Atlantic European area,climate change,temperature,zooplankton; phytoplankton,aquatic,field,Yes,No,community composition,NA
Costello,11,Aguiar,2015,Environmental Science and Pollution Research,"Benthic invertebrate density, biomass, and instantaneous secondary production along a fifth-order human-impacted tropical river",multiple stressors,water quality; sediment; land use,invertebrates,aquatic,field,Yes,Yes,community composition; biomass,secondary production
Costello,12,Aguiar,2009,Fundamental and Applied Limnology,Structural and functional responses of riparian vegetation to human disturbance: performance and spatial scale-dependence,multiple stressors,many in categories related to chemical and physical condition; habitat; and biological condition,plants,aquatic,field,Yes,No,community composition; functional traits,NA
Costello,13,Ainsworth,2011,Journal of Marine Science,Potential impacts of climate change on Northeast Pacific marine foodwebs and fisheries,climate change,ocean acidification; elevated CO2; range shifts,fish,aquatic,modeling,Yes,Yes,community composition; biomass,secondary production
Costello,15,Albert,2008,Advances in Ecological Research,Solar ultraviolet-B radiation at Zackenberg: The impact on higher plants and soil microbial communities,UV-B,,plants; microbes,terrestrial,field,Yes,Yes,community composition; biomass,photosynthesis; respiration; plant physiological traits
Costello,17,Alexander,2013,Ecotoxicology,Can nutrients mask community responses to insecticide mixtures?,nutrients; insecticides,chlorpyrifos; dimethoate; imidacloprid,invertebrates,aquatic,lab,Yes,No,biomass; invertebrate FFG,NA
Costello,18,Alexeyev,1995,Science of the Total Environment,Impacts of air-pollution on far north forest vegetation,atmospheric pollution,smelter activity; SO2; metals; Ni; Cu,trees; lichens,terrestrial,field,Yes,No,qualitative tree health,NA
