TREAT,CONC_X,CONC_SD,UNIT,CONC_SSIZE,PARAM_CLASS,PARAM,PARAM_X,PARAM_SD,PARAM_SSIZE,RESP_RATIO,LOG_RR,PCHANGE
artmicro_cont,12,1.8,ug/L,3,STR,protein_biomass,18.3,4.8,3,,,
artmicro_treat10,20.2,2.1,ug/L,3,STR,protein_biomass,18,3.5,3,0.98,-0.01,0.02
artmicro_treat30,42.8,2.5,ug/L,3,STR,protein_biomass,16.2,3.8,3,0.89,-0.05,0.11
artmicro_treat100,112.2,12.1,ug/L,3,STR,protein_biomass,24.1,3,3,1.32,0.12,0.32
artmicro_treat300,310.3,9,ug/L,3,STR,protein_biomass,13.2,1.4,3,0.72,-0.14,0.28
litmicro_cont,15.3,1.5,ug/L,3,STR,protein_biomass,10,0.4,3,,,
litmicro_treat10,24,2,ug/L,3,STR,protein_biomass,11.3,2.2,3,1.13,0.05,0.13
litmicro_treat30,38.8,4,ug/L,3,STR,protein_biomass,9.1,2.1,3,0.91,-0.04,0.09
litmicro_treat100,98.5,6.6,ug/L,3,STR,protein_biomass,19.4,2.7,3,1.94,0.29,0.94
litmicro_treat300,304.7,15,ug/L,3,STR,protein_biomass,11.5,1,3,1.15,0.06,0.15
artmicro_cont,12,1.8,ug/L,3,STR,chla_biomass,131,14,3,,,
artmicro_treat10,20.2,2.1,ug/L,3,STR,chla_biomass,155,15,3,1.18,0.07,0.18
artmicro_treat30,42.8,2.5,ug/L,3,STR,chla_biomass,163,30,3,1.24,0.09,0.24
artmicro_treat100,112.2,12.1,ug/L,3,STR,chla_biomass,226,44,3,1.73,0.24,0.73
artmicro_treat300,310.3,9,ug/L,3,STR,chla_biomass,151,8,3,1.15,0.06,0.15
litmicro_cont,15.3,1.5,ug/L,3,STR,chla_biomass,147,24,3,,,
litmicro_treat10,24,2,ug/L,3,STR,chla_biomass,154,21,3,1.05,0.02,0.05
litmicro_treat30,38.8,4,ug/L,3,STR,chla_biomass,122,29,3,0.83,-0.08,0.17
litmicro_treat100,98.5,6.6,ug/L,3,STR,chla_biomass,262,48,3,1.78,0.25,0.78
litmicro_treat300,304.7,15,ug/L,3,STR,chla_biomass,194,49,3,1.32,0.12,0.32
artmicro_cont,12,1.8,ug/L,3,STR,similarity,1,,3,,,
artmicro_treat10,20.2,2.1,ug/L,3,STR,similarity,0.93,,3,0.93,-0.03,0.07
artmicro_treat30,42.8,2.5,ug/L,3,STR,similarity,0.89,,3,0.89,-0.05,0.11
artmicro_treat100,112.2,12.1,ug/L,3,STR,similarity,0.75,,3,0.75,-0.13,0.25
artmicro_treat300,310.3,9,ug/L,3,STR,similarity,0.74,,3,0.74,-0.13,0.26
litmicro_cont,15.3,1.5,ug/L,3,STR,similarity,1,,3,,,
litmicro_treat10,24,2,ug/L,3,STR,similarity,0.86,,3,0.86,-0.06,0.14
litmicro_treat30,38.8,4,ug/L,3,STR,similarity,0.94,,3,0.94,-0.03,0.06
litmicro_treat100,98.5,6.6,ug/L,3,STR,similarity,0.99,,3,0.99,0,0.01
litmicro_treat300,304.7,15,ug/L,3,STR,similarity,0.96,,3,0.96,-0.02,0.04
artmicro_cont,12,1.8,ug/L,3,STR,sp_rich,27,1.7,3,,,
artmicro_treat10,20.2,2.1,ug/L,3,STR,sp_rich,20.3,0.6,3,0.75,-0.12,0.25
artmicro_treat30,42.8,2.5,ug/L,3,STR,sp_rich,21,1,3,0.78,-0.11,0.22
artmicro_treat100,112.2,12.1,ug/L,3,STR,sp_rich,17.7,0.6,3,0.66,-0.18,0.34
artmicro_treat300,310.3,9,ug/L,3,STR,sp_rich,22.7,1.2,3,0.84,-0.08,0.16
litmicro_cont,15.3,1.5,ug/L,3,STR,sp_rich,26.7,2.1,3,,,
litmicro_treat10,24,2,ug/L,3,STR,sp_rich,21.3,0.6,3,0.8,-0.1,0.2
litmicro_treat30,38.8,4,ug/L,3,STR,sp_rich,22.3,0.6,3,0.84,-0.08,0.16
litmicro_treat100,98.5,6.6,ug/L,3,STR,sp_rich,23.7,2.3,3,0.89,-0.05,0.11
litmicro_treat300,304.7,15,ug/L,3,STR,sp_rich,25,1,3,0.94,-0.03,0.06
artmicro_cont,12,1.8,ug/L,3,FUN,enzyme_act,5906,1042,3,,,
artmicro_treat10,20.2,2.1,ug/L,3,FUN,enzyme_act,7943,1296,3,1.34,0.13,0.34
artmicro_treat30,42.8,2.5,ug/L,3,FUN,enzyme_act,9944,1414,3,1.68,0.23,0.68
artmicro_treat100,112.2,12.1,ug/L,3,FUN,enzyme_act,11547,1724,3,1.96,0.29,0.96
artmicro_treat300,310.3,9,ug/L,3,FUN,enzyme_act,5635,1760,3,0.95,-0.02,0.05
litmicro_cont,15.3,1.5,ug/L,3,FUN,enzyme_act,1450,362,3,,,
litmicro_treat10,24,2,ug/L,3,FUN,enzyme_act,1250,521,3,0.86,-0.06,0.14
litmicro_treat30,38.8,4,ug/L,3,FUN,enzyme_act,1299,287,3,0.9,-0.05,0.1
litmicro_treat100,98.5,6.6,ug/L,3,FUN,enzyme_act,949,322,3,0.65,-0.18,0.35
litmicro_treat300,304.7,15,ug/L,3,FUN,enzyme_act,949,56,3,0.65,-0.18,0.35
artmicro_cont,12,1.8,ug/L,3,FUN,oxy_prod,3.96,,,,,
artmicro_treat10,20.2,2.1,ug/L,3,FUN,oxy_prod,4.07,,,1.03,0.01,0.03
artmicro_treat30,42.8,2.5,ug/L,3,FUN,oxy_prod,3.85,,,0.97,-0.01,0.03
artmicro_treat100,112.2,12.1,ug/L,3,FUN,oxy_prod,3.16,,,0.8,-0.1,0.2
artmicro_treat300,310.3,9,ug/L,3,FUN,oxy_prod,1.95,,,0.49,-0.31,0.51
litmicro_cont,15.3,1.5,ug/L,3,FUN,oxy_prod,2.79,,,,,
litmicro_treat10,24,2,ug/L,3,FUN,oxy_prod,3.59,,,1.29,0.11,0.29
litmicro_treat30,38.8,4,ug/L,3,FUN,oxy_prod,3.1,,,1.11,0.05,0.11
litmicro_treat100,98.5,6.6,ug/L,3,FUN,oxy_prod,2.9,,,1.04,0.02,0.04
